Phrase,Sentiment,Tokens
a very very very slowmoving aimless movie about a distressed drifting young man  ,0,"['slowmoving', 'aimless', 'movie', 'distressed', 'drifting', 'young', 'man']"
not sure who was more lost  the flat characters or the audience nearly half of whom walked out  ,0,"['sure', 'lost', 'flat', 'characters', 'audience', 'nearly', 'half', 'walked']"
attempting artiness with black  white and clever camera angles the movie disappointed  became even more ridiculous  as the acting was poor and the plot and lines almost nonexistent  ,0,"['attempting', 'artiness', 'black', 'white', 'clever', 'camera', 'angles', 'movie', 'disappointed', 'became', 'even', 'ridiculous', 'acting', 'poor', 'plot', 'lines', 'almost', 'nonexistent']"
very little music or anything to speak of  ,0,"['little', 'music', 'anything', 'speak']"
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  ,1,"['best', 'scene', 'movie', 'gerardo', 'trying', 'find', 'song', 'keeps', 'running', 'head']"
the rest of the movie lacks art charm meaning if its about emptiness it works i guess because its empty  ,0,"['rest', 'movie', 'lacks', 'art', 'charm', 'meaning', 'emptiness', 'works', 'guess', 'empty']"
wasted two hours  ,0,"['wasted', 'two', 'hours']"
saw the movie today and thought it was a good effort good messages for kids  ,1,"['saw', 'movie', 'today', 'thought', 'good', 'effort', 'good', 'messages', 'kids']"
a bit predictable  ,0,"['bit', 'predictable']"
loved the casting of jimmy buffet as the science teacher  ,1,"['loved', 'casting', 'jimmy', 'buffet', 'science', 'teacher']"
and those baby owls were adorable  ,1,"['baby', 'owls', 'adorable']"
the movie showed a lot of florida at its best made it look very appealing  ,1,"['movie', 'showed', 'lot', 'florida', 'best', 'made', 'look', 'appealing']"
the songs were the best and the muppets were so hilarious  ,1,"['songs', 'best', 'muppets', 'hilarious']"
it was so cool  ,1,['cool']
this is a very right on case movie that delivers everything almost right in your face  ,1,"['right', 'case', 'movie', 'delivers', 'everything', 'almost', 'right', 'face']"
it had some average acting from the main person and it was a low budget as you clearly can see  ,0,"['average', 'acting', 'main', 'person', 'low', 'budget', 'clearly', 'see']"
this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made  ,1,"['review', 'long', 'overdue', 'since', 'consider', 'tale', 'two', 'sisters', 'single', 'greatest', 'film', 'ever', 'made']"
ill put this gem up against any movie in terms of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking  ,1,"['ill', 'put', 'gem', 'movie', 'terms', 'screenplay', 'cinematography', 'acting', 'postproduction', 'editing', 'directing', 'aspect', 'filmmaking']"
its practically perfect in all of them  a true masterpiece in a sea of faux masterpieces  ,1,"['practically', 'perfect', 'true', 'masterpiece', 'sea', 'faux', 'masterpieces']"
