Phrase,Sentiment,Tokens,Lemmatized_Tokens,Lemmatized_Phrase,Stemmed_Tokens,Stemmed_Phrase
a very very very slowmoving aimless movie about a distressed drifting young man  ,0,"['slowmoving', 'aimless', 'movie', 'distressed', 'drifting', 'young', 'man']","['slowmoving', 'aimless', 'movie', 'distressed', 'drifting', 'young', 'man']",a very very very slowmoving aimless movie about a distressed drifting young man,"['slowmov', 'aimless', 'movi', 'distress', 'drift', 'young', 'man']",a veri veri veri slowmov aimless movi about a distress drift young man
not sure who was more lost  the flat characters or the audience nearly half of whom walked out  ,0,"['sure', 'lost', 'flat', 'characters', 'audience', 'nearly', 'half', 'walked']","['sure', 'lost', 'flat', 'character', 'audience', 'nearly', 'half', 'walked']",not sure who wa more lost the flat character or the audience nearly half of whom walked out,"['sure', 'lost', 'flat', 'charact', 'audienc', 'nearli', 'half', 'walk']",not sure who wa more lost the flat charact or the audienc nearli half of whom walk out
attempting artiness with black  white and clever camera angles the movie disappointed  became even more ridiculous  as the acting was poor and the plot and lines almost nonexistent  ,0,"['attempting', 'artiness', 'black', 'white', 'clever', 'camera', 'angles', 'movie', 'disappointed', 'became', 'even', 'ridiculous', 'acting', 'poor', 'plot', 'lines', 'almost', 'nonexistent']","['attempting', 'artiness', 'black', 'white', 'clever', 'camera', 'angle', 'movie', 'disappointed', 'became', 'even', 'ridiculous', 'acting', 'poor', 'plot', 'line', 'almost', 'nonexistent']",attempting artiness with black white and clever camera angle the movie disappointed became even more ridiculous a the acting wa poor and the plot and line almost nonexistent,"['attempt', 'arti', 'black', 'white', 'clever', 'camera', 'angl', 'movi', 'disappoint', 'becam', 'even', 'ridicul', 'act', 'poor', 'plot', 'line', 'almost', 'nonexist']",attempt arti with black white and clever camera angl the movi disappoint becam even more ridicul as the act wa poor and the plot and line almost nonexist
very little music or anything to speak of  ,0,"['little', 'music', 'anything', 'speak']","['little', 'music', 'anything', 'speak']",very little music or anything to speak of,"['littl', 'music', 'anyth', 'speak']",veri littl music or anyth to speak of
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  ,1,"['best', 'scene', 'movie', 'gerardo', 'trying', 'find', 'song', 'keeps', 'running', 'head']","['best', 'scene', 'movie', 'gerardo', 'trying', 'find', 'song', 'keep', 'running', 'head']",the best scene in the movie wa when gerardo is trying to find a song that keep running through his head,"['best', 'scene', 'movi', 'gerardo', 'tri', 'find', 'song', 'keep', 'run', 'head']",the best scene in the movi wa when gerardo is tri to find a song that keep run through hi head
the rest of the movie lacks art charm meaning if its about emptiness it works i guess because its empty  ,0,"['rest', 'movie', 'lacks', 'art', 'charm', 'meaning', 'emptiness', 'works', 'guess', 'empty']","['rest', 'movie', 'lack', 'art', 'charm', 'meaning', 'emptiness', 'work', 'guess', 'empty']",the rest of the movie lack art charm meaning if it about emptiness it work i guess because it empty,"['rest', 'movi', 'lack', 'art', 'charm', 'mean', 'empti', 'work', 'guess', 'empti']",the rest of the movi lack art charm mean if it about empti it work i guess becaus it empti
wasted two hours  ,0,"['wasted', 'two', 'hours']","['wasted', 'two', 'hour']",wasted two hour,"['wast', 'two', 'hour']",wast two hour
saw the movie today and thought it was a good effort good messages for kids  ,1,"['saw', 'movie', 'today', 'thought', 'good', 'effort', 'good', 'messages', 'kids']","['saw', 'movie', 'today', 'thought', 'good', 'effort', 'good', 'message', 'kid']",saw the movie today and thought it wa a good effort good message for kid,"['saw', 'movi', 'today', 'thought', 'good', 'effort', 'good', 'messag', 'kid']",saw the movi today and thought it wa a good effort good messag for kid
a bit predictable  ,0,"['bit', 'predictable']","['bit', 'predictable']",a bit predictable,"['bit', 'predict']",a bit predict
loved the casting of jimmy buffet as the science teacher  ,1,"['loved', 'casting', 'jimmy', 'buffet', 'science', 'teacher']","['loved', 'casting', 'jimmy', 'buffet', 'science', 'teacher']",loved the casting of jimmy buffet a the science teacher,"['love', 'cast', 'jimmi', 'buffet', 'scienc', 'teacher']",love the cast of jimmi buffet as the scienc teacher
